Data1,Data2,Data3,Data4,Data5,Data6,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAYAABNMaMmcov8bx3RIN3XFJglheNeQ==,QBXq3gAAYAABNMaMmcp38bwLRIN3XFJglheNeQ==,QBXq3gAAYAABNMaMmcov8bwLRIPkXFJgdxeNeQ==,QBXq3gAAYAABNMaMmcov8bwLRIPkXHdglheNeQ==,,,0.876289, 2022-06-04T19:47:48Z, 1229610, 0.015485
QBXq3gAAYQABpbJgla9PNnk21SNi41Oa4ed/0w==,QBXq3gAAYQABpbJgla9PNnk21SNi41Oa4ed/0w==,QBXq3gAAYQABpbJgla9PNnk21SNi41Oa4ed/0w==,QBXq3gAAYQABpbJgla9PNnk21SNi41Oa4ed/0w==,,,0.877551, 2022-06-04T19:48:01Z, 1242057, 0.015510
QBXq3gAAYgABewNSAf+Ih0FNCrdNPTmORPwbRA==,QBXq3gAAYgABewNSAf9Nh0FQCrdNPTmORPwbRA==,QBXq3gAAYgABewNSAf+Ih0FQCrcYPTmOTfwbRA==,QBXq3gAAYgABewNSAf+Ih0FQCrcYPU2ORPwbRA==,,,0.868687, 2022-06-04T19:48:14Z, 1254951, 0.015350
QBXq3gAAYwABJYkgzmeO8pg0ync0fbSbimhv5A==,QBXq3gAAYwABJYkgzmc08pgYync0fbSbimhv5A==,QBXq3gAAYwABJYkgzmeO8pgYyndAfbSbNGhv5A==,QBXq3gAAYwABJYkgzmeO8pgYyndAfTSbimhv5A==,,,0.860000, 2022-06-04T19:48:26Z, 1267622, 0.015197
QBXq3gAAZAABXI1NWkpglhGhzkuhNc+8BiHLiQ==,QBXq3gAAZAABXI1NWkqhlhHNzkuhNc+8BiHLiQ==,QBXq3gAAZAABXI1NWkpglhHNzks7Nc+8oSHLiQ==,QBXq3gAAZAABXI1NWkpglhHNzks7NaG8BiHLiQ==,,,0.851485, 2022-06-04T19:48:39Z, 1280329, 0.015046
QBXq3gAAZQABnwMeo7WG2MkLwJBh2zcNGw9J9Q==,QBXq3gAAZQABnwMeo7WG2MkLwJBh2zcNGw9J9Q==,QBXq3gAAZQABnwMeo7WG2MkLwJBh2zcNGw9J9Q==,QBXq3gAAZQABnwMeo7WG2MkLwJBh2zcNGw9J9Q==,,,0.852941, 2022-06-04T19:48:51Z, 1292745, 0.015075
QBXq3gAAZgABttDnu27iye6CyzWCB4Ov3RIYHA==,QBXq3gAAZgABttDnu26Cye5NyzWCB4Ov3RIYHA==,QBXq3gAAZgABttDnu27iye5NyzVyB4OvghIYHA==,QBXq3gAAZgABttDnu27iye5NyzVyB4Kv3RIYHA==,,,0.844660, 2022-06-04T19:49:04Z, 1305638, 0.014926
QBXq3gAAZwABpgQf+jBQaJOJXbtYvf5P0V88xw==,QBXq3gAAZwABpgQf+jBQaJOJXbtYvf5P0V88xw==,QBXq3gAAZwABpgQf+jBQaJOJXbtYvf5P0V88xw==,QBXq3gAAZwABpgQf+jBQaJOJXbtYvf5P0V88xw==,,,0.846154, 2022-06-04T19:49:17Z, 1318091, 0.014955
QBXq3gAAaAABsGF+KXmi0XxotSpoOjpiQuBNfA==,QBXq3gAAaAABsGF+KXlo0XwPtSpoOjpiQuBNfA==,QBXq3gAAaAABsGF+KXmi0XwPtSolOjpiaOBNfA==,QBXq3gAAaAABsGF+KXmi0XwPtSolOmhiQuBNfA==,,,0.838095, 2022-06-04T19:49:30Z, 1330978, 0.014810
QBXq3gAAaQABjvfKU+c1JE44kbs4IYQx7K1W+g==,QBXq3gAAaQABjvfKU+c4JE6bkbs4IYQx7K1W+g==,QBXq3gAAaQABjvfKU+c1JE6bkbuAIYQxOK1W+g==,QBXq3gAAaQABjvfKU+c1JE6bkbuAITgx7K1W+g==,,,0.830189, 2022-06-04T19:49:42Z, 1343653, 0.014670
